loading previous zp-ontology...
Jul 05, 2017 5:37:07 PM de.charite.zpgen.ZPIDDB <init>
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28452 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28452 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28452 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28452 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28452 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28452 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28454 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28454 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28454 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28454 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28454 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28454 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28454 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28454 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28454 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-28454 expected normal/abnormal, found 'ameliorated'
